"anly_mapped_zipcode","collection_to_report","collection_to_report","collection_to_report","collection_to_report","collection_to_report_less_than_1","collection_to_report_less_than_1"
"06240",1,1,1,1,1,1
"06268",2,2,2,2,0,1
"06320",4,4,4,4,0,1
"06340",9,9,9,9,0,1
"06357",0,0,0,0,1,1
"06379",5,5,5,5,0,1
"06382",0.5,0,0,1,2,2
"06403",0.5294117647058824,0,0,1,14,17
"06405",1,1,1,1,1,1
"06413",0,0,0,0,1,1
"06426",1,1,1,1,1,1
"06443",0.5,0,0,1,2,2
"06468",2.6,3,2,3,0,5
"06469",3,3,3,3,0,1
"06470",0.875,1,1,1,16,16
"06475",1,1,1,1,1,1
"06477",1.1666666666666667,1,1,2,4,6
"06488",0,0,0,0,1,1
"06489",0.5,0,0,1,2,2
"06492",1,1,1,1,1,1
"06511",0.6666666666666666,1,0,1,6,6
"06514",4,4,4,4,0,4
"06515",0,0,0,0,3,3
"06516",3,3,3,3,0,1
"06517",0.75,1,0,1,4,4
"06611",1,1,1,1,1,1
"06750",1,1,1,1,1,1
"06777",0,0,0,0,2,2
"06785",1,1,1,1,2,2
"06790",6,6,6,6,0,1
"06798",0,0,0,0,1,1
"06812",0,0,0,0,4,4
"06820",1.3333333333333333,1,1,2,4,6
"06824",1,0,0,3,2,3
"06825",2.3333333333333335,3,1,3,1,3
"06830",0.2,0,0,0,5,5
"06831",2.6,3,1,4,2,5
"06840",0.625,0,0,1,7,8
"06851",1,1,1,1,2,2
"06855",0,0,0,0,1,1
"06870",0,0,0,0,2,2
"06878",2,2,2,2,0,2
"06880",1.3,1,0,3,6,10
"06896",4,4,4,4,0,1
"06897",0.25,0,0,0,4,4
"06901",0,0,0,0,4,4
"06902",6,0,0,12,2,4
"06903",1.875,1,1,2,5,8
"06905",1,1,1,1,2,2
"06906",2,2,2,2,0,1
"07003",0,0,0,0,1,1
"07005",2.25,1,1,1,3,4
"07006",6,6,6,6,0,9
"07010",6,6,6,6,0,1
"07016",0,0,0,0,1,1
"07018",3,3,3,3,0,2
"07028",0,0,0,0,1,1
"07029",0,0,0,0,1,1
"07030",0.8666666666666667,1,0,1,14,15
"07039",2,2,2,2,0,1
"07040",5,5,5,5,0,1
"07041",1,1,1,1,2,2
"07047",1,1,1,1,5,5
"07052",0,0,0,0,1,1
"07068",0,0,0,0,1,1
"07073",3,1,1,5,1,2
"07076",2,2,2,2,0,1
"07078",1,1,1,1,1,1
"07079",1.5,1,1,2,1,2
"07087",1,1,1,1,2,2
"07090",1.3636363636363635,1,1,2,7,11
"07093",4,4,4,4,0,1
"07103",0,0,0,0,1,1
"07105",1,1,1,1,1,1
"07106",1,1,1,1,1,1
"07110",0,0,0,0,2,2
"07111",1,1,1,1,1,1
"07233",0,0,0,0,1,1
"07302",0.5,0,0,1,6,6
"07305",6,4,2,12,0,3
"07403",5,5,5,5,0,1
"07405",1,1,1,1,1,1
"07417",1,1,1,1,6,6
"07423",0,0,0,0,1,1
"07430",4,4,4,4,0,1
"07432",1,1,1,1,1,1
"07438",1,1,1,1,1,1
"07450",1,1,0,2,2,3
"07456",0,0,0,0,1,1
"07470",1.25,1,1,1,3,4
"07480",1.6,1,1,1,4,5
"07481",1.4,0,0,1,4,5
"07601",4.2,5,5,5,1,5
"07603",6,6,6,6,0,3
"07607",1,1,1,1,1,1
"07626",2,2,2,2,0,8
"07631",1.5,1,1,2,1,2
"07640",2,1,1,3,1,2
"07645",5,5,5,5,0,1
"07652",6,6,6,6,0,1
"07656",7,7,7,7,0,1
"07670",1,1,1,1,1,1
"07704",3,2,2,4,0,2
"07719",3,1,1,5,1,2
"07726",0.75,1,0,1,4,4
"07730",2,2,2,2,0,2
"07733",1,1,1,1,2,2
"07735",1,1,1,1,1,1
